tips,ll
It's all about the food in the North End of the market. Try the sambossas in the Ethiopian food stand.,"51.4816768849,-0.00918388366699"
"Very small street market, with stands by normal local people. Some food stands are very good: try everything from the Japanese one! The falafel is also good.","51.5529019325,-0.0444938693447"
Duck noodles,"51.504158,-0.019705"
The snickers protein shake is the bomb. 💣,"51.5047482928,-0.0182648169101"
"Look for the little blue truck. Blutop ice cream is delicious and if you're lucky, they'll have the roasted coconut + rhubarb flavour! Brilliant.","51.5059795865,-0.0212728573181"
One is never good may be two :),"51.4625073318,-0.0102484597339"
Great burritos with rice and beans and your choice of protein. Could eat it for lunch at least a couple of days of the week,"51.5051178212,-0.01832233585"
Best coffee in Canary Wharf,"51.5070315982,-0.022488025472"
"Stodgy salads, not at all that healthy","51.5038705586,-0.0188427189109"
Very friendly owner. Puts a bowl of water out for the dogs and does a good bacon nap,"51.4775841148,-0.000414693772052"
Proper English queueing fest. Don't go if you're hungry or wishing for a cheap pint.,"51.5025625571,-0.0138936609863"
Awesome indian roti that you can fire into you before having some beers,"51.5038755377,-0.0198858376615"
Cuban Chorizo Sandwich was really tasty. Take the hot sauce if you're into spice.,"51.5019508647,-0.0201185898298"
Try a Steak baguette. It's really good,"51.479226,0.269647836685"
Prices has gone up (£7 for a bowl of char siew BBQ pork la mian) but still worth the trek to Greenwich. Busy at all times.,"51.4817343242,-0.00919688578017"
"Delicious pizza, right in our neighbourhood. It is a bit on the pricey side (£7 cheapest) but it's so tasty and so worth it, especially when we can't be bothered to cook. Definitely gonna go back.","51.452988,-0.001562"
soft fresh moist delicious huge. i mean the burgers. the perfect street food delivered from a food truck.,"51.5430158153,-0.0229013729318"
Never thought that Cote would be such a great place for breakfast!!! Will be back there on weekends!,"51.4673781624,0.00717625771326"
"Yes it is French, no they don't serve butter with bread and no they don't cater for vegetarians. But the steak is cooked to perfection, their secret sauces on their steaks and salad are sublime.","51.504420687,-0.0231081074833"
"If you are looking for something different the place is ideal! Value for money, reasonable prices and the flavours... Omg I just had the salted caramel caneles and they were soo delicious!!!","51.4812848376,-0.00985622628091"
I'm in love with this place! They make the best scones! That coffee and my favorite hazelnut spread.. omg they make my day when I have the breakfast here;) not to mention croissants.. ;),"51.5036467361,-0.0193406120403"
Not easy to find but it worth every bite!!! Amazing amazing amazing scallops with edamame! The Big cousine and spectacular view. Superb service!,"51.5047159028,-0.0177706773234"
The food i had was good along with the service,"51.4178900143,0.0676581077273"
"Good service, delicious French food","51.4398640664,0.268934744502"
Great choice of regional French wines and cheese / ham platters. Not a restaurant but true continental style wine bar.,"51.466985,0.007047"
A superb French bistro with all time Gallic favourites and many imaginative twists and great service,"51.5797345689,0.0240349682405"
This is the Cafe of my choice in my borough,"51.4799662863,-0.00929960898897"
Great place for a glass or bottle of French wine and some cheese,"51.5043691599,-0.0195484117666"
Possibly London's best modern European restaurant.,"51.477516549,-0.0123034383901"
The chicken and the dessert were delicious! Mmmm! :),"51.5070565497,-0.0295059027581"
Breakfast in the garden is the best way to spend a Sunday morning.,"51.4668223329,0.00862780817262"
Always a lovely atmosphere. We mostly come here at weekends with our little'ns. Children are always welcome and well looked after. They love the moules. We love the wine and specials.,"51.503700368,-0.0220208957608"
A great restaurant in a building with history back to 1600's as a coaching inn.,"51.479452,-0.00832589"
Great food however totally let down by the slow disorganised service staff,"51.5013808064,0.00482744317504"
"Slow service, so not for those in a hurry or with things to do","51.5069544756,-0.0228008801093"
Amazing chicken with spicey ranch,"51.506097,-0.016234"
Obeah chicken boy!,"51.4905471317,0.0664792676751"
Bargen buckit four 4,"51.478696869,0.181698294571"
Staff are friendly but they forgot my dips!,"51.528553009,0.189383134246"
It's not so clean. The stuff doesn't clean the tables...,"51.5312714163,0.145730802424"
Finger licking!,"51.4629374,0.105755"
Get lots and lots of wings. Different glazes. Then the Korean french fries.,"51.542577,-0.007262"
Can't beat a zinger tower for breakfast.,"51.5630237757,0.214017924114"
Male toilet unbelievably disgusting. AVOID!!!,"51.5216953102,0.0721759128233"
Order the chicken. It's good.,"51.5757869735,0.183282422548"
Cloud WiFi and drive through,"51.48421345,0.276007323748"
Why eat at KFC? Try a local restaurant!,"51.5319609071,0.0354393047371"
"Just another KFC shop. Shop is well tidy, but has not many sits.","51.5405684935,0.0020437902687"
Best and cheapest chicken in London! lovely staff and super fast. Did I mention they were super cheap?!,"51.53088,0.019700825"
"Food for drunk people, or those who don't care about their health.","51.4861824395,0.0125978081309"
You're gonna get fat eating this crap!!! Go get a salad!,"51.4507418264,0.0550739342174"
rude staff. no manners. as if you have to beg for salt for the fries.,"51.5926720246,0.084113993894"
variety meal 3 pcs + 2 hot wings + breast fillet + fries + drink for £5.99,"51.4855256423,-0.0345181733863"
Eat as many hot wings as physically possible. And then have ten more.,"51.4852642034,0.00514731239505"
Im very cold x,"51.4391930968,0.273823053501"
Ask 4 crack fried special give a wink and a fiver - sorted.,"51.5128232523,-0.00818226511607"
"I definitely recommend the £1.99 meal deal - plenty of chips, two wings and a decent size bit of chicken! Very cheap.","51.5563954096,0.251441001892"
little but suitable for a quick lunch.On route home along the cycle highway.,"51.5249060028,-0.0356090068817"
Also serves healthy meal of lamb & plenty veg with egg... Useful around here after a long day working late and couch-surfing,"51.5277101252,-0.0224847111691"
The greasiest fried chicken shop in London. A true legend for all Queen Mary students.,"51.5244747344,-0.0364792118645"
Rated 1 by the food standards agency for hygiene: http://ratings.food.gov.uk/business/en-GB/85254  Avoid!,"51.5127296495,-0.039730756949"
Excellent 1/4 pounder,"51.5221991333,-0.044653"
"Their Chicken Burger is really good. Ask for their Mayonnaise, it's lovely :)","51.5205914795,-0.0466337786111"
Disgustting,"51.5930834933,0.214009974559"
"Along with fried chicken, they now do Peri Peri chicken and I can tell you that it's very nice. Their menu is huge with a vast array of chicken options. Very cheap. Can't go wrong really.","51.4748302197,-0.0460590147616"
Wicked zinger meal is always a win! Get a corn on cob as a side,"51.5426533594,-0.00454944200335"
http://www.thereachbar.co.uk/,"51.5067298053,0.073014672872"
Great cocktails,"51.4792232885,-0.0101079090364"
"Good beer, comfortable, lets dogs in (and gave us a bowl of water and dog biscuits), good £10 deal on a very good burger + a beer, and friendly staff. Staff need better communication.","51.4693339802,0.0103595068169"
Gastropub with big range of beers,"51.4922711725,0.0699279682255"
Overlooking the Thames. Nice Gastropub apparently,"51.5018310121,-0.00777877734527"
The Chilli pies are lovely.....,"51.4814571938,-0.00822343216462"
Cosy atmosphere..🍷🍺,"51.5826628178,0.0277732880162"
"Clean, tidy and in a nice area.","51.4887442042,-0.00592941578789"
The scotch eggs are a must :),"51.4508659716,0.0123395995004"
They do Hendricks properly here!,"51.4824165725,-0.0098120651462"
The owner's father is a painter and you can see some of his work on the walls.,"51.4756283888,-0.0104525534263"
"I adore this place. Menu  has Spanish influences in a very well mixed selection . Indoors is cosy, outdoors is great. Service and staff is friendly.","51.5370478993,-0.0445331644228"
"Great dinner menu of classic gastropub food with interesting twists. Pork & chorizo burger with bacon, fries and mint salad was yum!","51.5322648993,-0.0281351609361"
"Find this place very clicky.. locals give you dirty looks as you walk in, best avoided.","51.4508937651,0.102943459409"
Great food and family place. Has a lovely big beer garden.,"51.4530797599,-0.000357694213527"
"Proper pub. Casual, cosy and big, but still with atmosphere. Great for large groups. The roasts are ok, but nothing to write home about.","51.5488427104,-0.040375710522"
"Great pub, catch the tube to mile end, parking can be tricky","51.5331820814,-0.0415765120113"
"Service ok, food comparable to school dinners! Avoid!","51.421828957,0.101385234162"
"Less busy than the rammed Princess of Wales, probably because of no outside seating, but a table by the windows gives a lovely view of the Heath. Ales on tap, too.","51.4681172414,0.00366651253831"
Great gastropub with fantastic food and a huge selection of ales.,"51.5678004914,0.0108576141028"
Beer and service,"51.5383753954,-0.0437924483439"
American beers (Sierra Nevada pale ale and Lagunitas IPA) on draft. Service gets slow later at night,"51.4739801238,-0.0340642436961"
"Honest breakfast and burgers. Try the potato in jacket with Chili, it's delicious.Could be noisy if there is a football or rugby match","51.5086796428,0.0395425296797"
Блондинка за баром - русская ;),"51.4770712458,-0.0168379536731"
"Great Sunday roasts, lots on the plate :)","51.410996989,0.0766676150536"
Absolutely awesome ! For some reason they thought it was my boyfriends birthday and randomly walked out singing happy birthday with a candle lit ice cream cake desserts thing for him! Heheh awesome !!,"51.5095816925,-0.0378393938206"
"Terrible slow bar service spoils a lovely pub overlooking the park. Lots of staff, all rather relaxed in their approach to the bartendering. Not tried the gastropub food, however it does look amazing.","51.5365778805,-0.0435747481002"
"Nice pub with excellent menu and buffet nights mondays is Chinese buffet, Thursday's is curry night, Fridays is Chip Shop Night, Sundays is roast carvery","51.5148119616,0.0608612670573"
Very good food pies excellent! !!,"51.5433059583,-0.00843054643992"
"Old school semi country pub, allows animals an I dont mean the punters. Does traditional grub to.","51.4303742682,0.139325919053"
"This Sunday lunch has gastropub leanings, with the likes of oysters, smoked mackerel fishcakes and grilled Gloucester Old Spot ham with apple chutney on a daily changing menu.","51.541245747,0.00265585130132"
New.  Had potential.  Food no good.,"51.50735,-0.022544637"
Go for the fish and chips,"51.4090666274,0.0743404825582"
Great gym. Very reasonable price for membership,"51.4134742213,0.159194469452"
